FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
24,72450,2472450,Silver Spring CDP, Maryland,0,2015,82463,47.8,76.4,8.8,40601,41862,34525,19740,7297,460,0,56539,25924
24,81175,2481175,Waldorf CDP, Maryland,0,2015,75512,43.4,72.5,8.1,35640,39872,22935,42702,3277,494,0,70702,4810
25,7000,2507000,Boston city, Massachusetts,1,2015,669469,54.3,83.3,10.6,322149,347320,352667,169390,63603,1282,153,538813,130656
25,9000,2509000,Brockton city, Massachusetts,1,2015,95314,42.6,76.1,12,46273,49041,38457,41624,2297,65,0,84424,10890
25,11000,2511000,Cambridge city, Massachusetts,1,2015,110402,62,89.5,12.6,55421,54981,77028,10401,16219,0,39,100969,9433
25,23000,2523000,Fall River city, Massachusetts,1,2015,88770,41.9,81.8,13.4,43314,45456,72667,3335,1684,0,246,79689,9081
25,24960,2524960,Framingham CDP, Massachusetts,0,2015,71210,42.1,81.4,12.8,35442,35768,50947,6593,5474,638,0,58210,13000
25,34550,2534550,Lawrence city, Massachusetts,1,2015,80240,45.2,73.5,10.1,37464,42776,37129,5848,2125,121,0,17065,63175
25,37000,2537000,Lowell city, Massachusetts,1,2015,110720,46,77.6,9,54422,56298,66454,5968,28650,242,0,88625,22095
25,37490,2537490,Lynn city, Massachusetts,1,2015,92459,45.2,75.5,10.8,44598,47861,43612,12130,8190,214,0,59209,33250
25,45000,2545000,New Bedford city, Massachusetts,1,2015,94959,40.2,78.7,15.7,43793,51166,61649,6646,1297,47,0,76623,18336
25,45560,2545560,Newton city, Massachusetts,1,2015,88809,36.5,78.7,17.7,41985,46824,67014,1993,13966,67,0,84019,4790
25,55745,2555745,Quincy city, Massachusetts,1,2015,93629,41,83.8,16.4,44129,49500,58004,3902,30135,0,0,91063,2566
25,62535,2562535,Somerville city, Massachusetts,1,2015,80334,64.8,90.5,10,41028,39306,60608,6038,8481,21,0,71544,8790
25,67000,2567000,Springfield city, Massachusetts,1,2015,154336,43.7,73.5,11.9,74744,79592,92933,30723,4544,835,0,85127,69209
25,82000,2582000,Worcester city, Massachusetts,1,2015,184806,46.9,81.3,13.2,90951,93855,127455,24337,14105,658,0,145806,39000
26,3000,2603000,Ann Arbor city, Michigan,1,2015,117070,59.8,87.7,12.5,58789,58281,86039,7780,16882,1044,118,111182,5888
26,21000,2621000,Dearborn city, Michigan,1,2015,95180,39.9,71.5,11.8,46482,48698,86285,3409,2357,185,0,91647,3533
26,22000,2622000,Detroit city, Michigan,1,2015,677124,41.1,74.7,12.7,319265,357859,95272,538304,8790,1738,188,623144,53980
26,27440,2627440,Farmington Hills city, Michigan,1,2015,81332,35.8,77.8,18.5,37527,43805,56106,12745,9888,130,0,79280,2052
