fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
06,57456,0657456,Pittsburg city,California,0,1990,47564,51.019999999999996,68.88,7.75,23659,23905,27874,8363,5474,366,318,36276,11288
06,57792,0657792,Pleasanton city,California,1,1990,50553,52.38,74.2,5.38,25068,25485,45835,694,2820,216,104,47170,3383
06,58072,0658072,Pomona city,California,1,1990,131723,52.05,67.2,6.98,67596,64127,75113,19013,8477,745,314,64190,67533
06,59444,0659444,Rancho Cordova CDP,California,0,1990,48731,49.62,72.39999999999999,7.969999999999999,23684,25047,38446,4907,3396,553,181,44925,3806
06,59451,0659451,Rancho Cucamonga city,California,1,1990,101409,53.43,68.37,5.050000000000001,50117,51292,79698,5952,5130,580,388,81111,20298
06,59920,0659920,Redding city,California,1,1990,66462,44.34,73.11,14.45,31964,34498,61545,699,2106,1433,67,63830,2632
06,59962,0659962,Redlands city,California,1,1990,60394,48.05,73.04,11.940000000000001,28905,31489,48067,2313,2539,441,129,48944,11450
06,60018,0660018,Redondo Beach city,California,1,1990,60167,61.24000000000001,83.78,7.21,30787,29380,52371,960,3876,311,235,53250,6917
06,60102,0660102,Redwood City city,California,1,1990,66072,52.080000000000005,77.95,11.51,33294,32778,54684,2406,3710,336,465,50137,15935
06,60466,0660466,Rialto city,California,1,1990,72388,48.4,64.38000000000001,6.619999999999999,35413,36975,41931,14734,2378,628,175,49601,22787
06,60620,0660620,Richmond city,California,1,1990,87425,48.209999999999994,73.57000000000001,11.34,41709,45716,31633,38260,10047,522,294,74735,12690
06,62000,0662000,Riverside city,California,1,1990,226505,51.43,71.00999999999999,8.95,112614,113891,160344,16740,10920,1910,901,167679,58826
06,62364,0662364,Rocklin city,California,0,1990,19033,48.74,71.63000000000001,9.21,9461,9572,17815,143,470,184,33,17700,1333
06,62938,0662938,Roseville city,California,1,1990,44685,47.92,72.72,11.27,21576,23109,40899,407,1427,430,56,39860,4825
06,64000,0664000,Sacramento city,California,1,1990,369365,49.03,73.83,12.08,178737,190628,221963,56521,52973,4561,2453,309358,60007
06,64224,0664224,Salinas city,California,1,1990,108777,50.17,67.93,8.32,54424,54353,59343,3276,8387,1031,407,53693,55084
06,65000,0665000,San Bernardino city,California,1,1990,164164,48.54,68.41000000000001,9.99,81252,82912,99550,26281,5891,1596,671,107409,56755
06,65042,0665042,San Buenaventura (Ventura) city,California,1,1990,92575,49.72,76.49000000000001,12.47,45753,46822,79709,1551,2336,977,172,76324,16251
06,65084,0665084,San Clemente city,California,0,1990,41100,49.9,78.78,12.98,20847,20253,37630,274,1048,175,65,35815,5285
06,66000,0666000,San Diego city,California,1,1990,1110549,54.6,76.94,10.22,566464,544085,745406,104261,124793,6800,6152,881030,229519
06,67000,0667000,San Francisco city,California,1,1990,723959,52.88,83.86,14.56,362497,361462,387783,79039,207155,3456,3721,623242,100717
06,68000,0668000,San Jose city,California,1,1990,782248,53.169999999999995,73.29,7.199999999999999,397709,384539,491280,36790,148793,5416,4022,573860,208388
06,68084,0668084,San Leandro city,California,1,1990,68223,43.94,80.95,19.27,32450,35773,50582,3923,8774,508,618,57860,10363
06,68196,0668196,San Marcos city,California,1,1990,38974,48.39,72.89,14.66,19528,19446,33014,567,1034,297,108,28272,10702
06,68252,0668252,San Mateo city,California,1,1990,85486,47.86,81.19,16.259999999999998,41467,44019,67170,3060,9902,330,1475,72251,13235
06,68378,0668378,San Ramon city,California,1,1990,35303,54.55,73.22,4.31,17556,17747,30750,711,3100,123,75,33239,2064
06,69000,0669000,Santa Ana city,California,1,1990,293742,56.769999999999996,69.53,5.62,156394,137348,199727,7685,27205,1536,1380,102359,191383
06,69070,0669070,Santa Barbara city,California,1,1990,85571,52.370000000000005,81.71000000000001,16.21,41912,43659,66529,1920,1921,758,76,58651,26920
06,69084,0669084,Santa Clara city,California,1,1990,93613,56.03,81.22,9.98,47545,46068,68984,2404,16984,473,432,79353,14260
06,69088,0669088,Santa Clarita city,California,1,1990,110642,53.25,72.02,6.25,55282,55360,96555,1695,4471,624,136,95871,14771
06,69112,0669112,Santa Cruz city,California,0,1990,49040,61.050000000000004,81.71000000000001,10.07,24271,24769,42115,1129,2159,425,113,42378,6662
06,69196,0669196,Santa Maria city,California,1,1990,61284,46.910000000000004,70.14,12.04,30397,30887,37722,1350,3629,582,87,33270,28014
06,70000,0670000,Santa Monica city,California,1,1990,86905,52.18000000000001,86.22,16.509999999999998,41007,45898,71961,3920,5421,384,129,74695,12210
06,70098,0670098,Santa Rosa city,California,1,1990,113313,46.88,76.16000000000001,16.3,54142,59171,101270,2031,3556,1382,255,102586,10727
06,72016,0672016,Simi Valley city,California,1,1990,100217,52.559999999999995,71.81,5.26,50368,49849,88345,1527,5269,615,205,87510,12707
06,73080,0673080,South Gate city,California,1,1990,86284,51.239999999999995,65.46,7.249999999999999,43042,43242,35936,1437,1205,382,189,14557,71727
06,73262,0673262,South San Francisco city,California,0,1990,54312,47.699999999999996,75.85,11.39,26674,27638,33398,2172,12181,357,1187,39581,14731
06,73430,0673430,South Whittier CDP,California,0,1990,49514,49.93,68.84,7.75,24943,24571,33253,579,2019,351,82,23887,25627
06,75000,0675000,Stockton city,California,1,1990,210943,46.68,68.24,10.48,104522,106421,121372,20321,47364,2061,723,158290,52653
06,77000,0677000,Sunnyvale city,California,1,1990,117229,53.459999999999994,80.84,10.4,59323,57906,83972,4022,21966,608,689,101785,15444
06,78120,0678120,Temecula city,California,1,1990,27099,51.13999999999999,67.15,6.3100000000000005,13786,13313,24583,414,710,170,48,23160,3939
06,78582,0678582,Thousand Oaks city,California,1,1990,104352,48.58,75.33,9.030000000000001,51759,52593,94332,1270,4823,414,167,94333,10019
06,80000,0680000,Torrance city,California,1,1990,133107,48.65,79.59,11.95,65374,67733,97144,1933,28603,539,494,119709,13398
06,80238,0680238,Tracy city,California,1,1990,33558,50.51,68.7,8.07,16835,16723,28944,855,1420,347,130,25413,8145
06,80812,0680812,Turlock city,California,1,1990,42198,47.410000000000004,70.67999999999999,12.49,20248,21950,34820,500,1770,393,75,33349,8849
06,80854,0680854,Tustin city,California,1,1990,50689,56.43,76.05,7.51,25535,25154,37127,2895,5061,274,199,40181,10508
06,81204,0681204,Union City city,California,1,1990,53762,51.39,70.35,7.140000000000001,26616,27146,23613,4612,17343,318,635,40278,13484
06,81344,0681344,Upland city,California,1,1990,63374,48.86,73.27,9.2,30953,32421,49972,3380,4365,286,92,52259,11115
06,81554,0681554,Vacaville city,California,1,1990,71479,55.11000000000001,73.29,6.83,39478,32001,56351,6370,2346,707,378,60113,11366
06,81666,0681666,Vallejo city,California,1,1990,109199,49.07,72.00999999999999,10.85,54444,54755,55100,23098,23605,810,1458,97422,11777
06,82590,0682590,Victorville city,California,1,1990,40674,46.410000000000004,68.99,11.57,20158,20516,29724,3899,1382,442,109,31321,9353
06,82954,0682954,Visalia city,California,1,1990,75636,46.08,68.89,11.1,36523,39113,56554,1114,4768,737,101,56631,19005
06,82996,0682996,Vista city,California,1,1990,71872,50.690000000000005,73.05,12.17,35886,35986,57972,3201,2328,593,525,54068,17804
06,83346,0683346,Walnut Creek city,California,0,1990,60569,40.99,83.58,22.81,28038,32531,54878,635,3962,152,84,57700,2869
06,84200,0684200,West Covina city,California,1,1990,96086,49.980000000000004,72.39,8.7,47137,48949,57436,8203,16329,485,193,62833,33253
06,84550,0684550,Westminster city,California,1,1990,78118,49.96,74.81,9.379999999999999,39584,38534,54396,868,17053,464,559,63222,14896
06,85292,0685292,Whittier city,California,1,1990,77671,47.78,74.32,13.889999999999999,37969,39702,57048,992,2428,462,153,47393,30278
06,86832,0686832,Yorba Linda city,California,0,1990,52422,50.64999999999999,70.22,5.0,26050,26372,44949,579,5243,222,64,47474,4948
06,86972,0686972,Yuba City city,California,0,1990,27437,47.11,70.96000000000001,11.72,13165,14272,20876,713,2069,457,48,22532,4905
08,03455,0803455,Arvada city,Colorado,1,1990,89235,48.6,72.37,7.62,43768,45467,84129,513,1718,475,50,82592,6643
08,04000,0804000,Aurora city,Colorado,1,1990,222103,53.97,72.64,6.77,108041,114062,183046,25394,8102,1426,274,207335,14768
